,hhd-0,hhd-1,hhd-2,hhd-3,hhd-4,hhd-5,hhd-6,hhd-7,hhd-8,hhd-91,hhd-92,hhd-93,hhd-94,hhd-95
cfoot,1019.5517384775434,1366.1959574446469,1653.656764605066,1654.8831393222788,1753.158318877041,2010.3327095478437,2291.098951718894,2768.9644409077277,3462.5170113228296,787.7002995447044,652.3613097673543,861.3619457515476,989.5753098974377,1122.2813982052176
cwood,52.965576698194944,70.71348259519738,88.39936639452989,96.37492171094367,127.99780502428428,115.65877519374851,115.88504300401777,178.596063359918,282.50874615796704,96.37316440951933,74.60329788336693,83.20491029072915,141.70169515569958,148.90466348854488
cpapp,542.2994864422424,1028.2661376250837,981.0532293369225,1104.905857852762,1003.5626413893011,1181.7245042167335,1193.6310025326877,1360.270388345182,1828.2099983944888,490.70920353429665,433.8423332655842,357.0630758868861,452.6997178594449,491.6630385440529
cprnt,35.78829125520069,71.58487298229859,148.37743062104605,273.1210827481327,315.79259910077724,764.8063160611464,1167.035457403384,1380.7672712426465,2705.0736058061716,816.0421067664679,668.377720727383,1029.1570973388511,1249.380339861144,1669.4356940150597
cpetr,498.2647597581948,825.0325372273437,1487.0866070739341,2210.9395897115037,2459.94815196133,4620.325303393025,6463.091640390201,12313.345909826534,23848.70460916444,6094.050954266657,6331.958602390874,7807.4722126024035,8444.714711144286,10121.162536404127
cbchm,4.004003707818235,14.107186507741243,41.57866934926042,61.887748335426465,27.023972782946146,103.84834650854074,83.0256360703552,80.2718576528882,227.89746686844904,68.4967450690651,26.787972245665838,84.76146207482829,139.968920789417,126.25487612320956
cfert,53.951094566857584,75.99150334718237,126.2306668295202,161.20220925389256,267.18459635959374,189.55441846012008,292.38110646371115,427.5701857338785,871.56444517716,223.46822610142158,248.65268406564195,148.30720613827492,235.98321931531277,217.81422891996073
cpain,8.341374335756788,86.06111654680025,142.43466664099859,233.70976502995208,18.733710788708482,53.043147600495395,67.30827729015787,110.51369400210542,24.884630964625703,0.0,18.33344118117954,43.614664061728284,37.37614193587483,0.0
cphar,754.8974110283277,1065.457094053269,1460.2029210733403,1406.2837987128507,1805.3430370137405,2176.5011475951687,2315.905047849716,4897.896084012474,6647.401219582026,2197.316053016787,1865.4516362893053,2944.5647761406262,2452.533809981512,3201.718364831773
csoap,2708.9629529071794,3608.8710079627695,3812.831335264237,4259.869278250745,4455.778242937668,4663.941682548815,4942.141722216845,6019.397551089254,7441.246908700743,1917.237557190914,1694.9480972067106,1932.9151173654986,2287.062230213025,3006.202871983137
coche,3.7866503474545365,39.06830502466595,64.65964219033874,106.0948864458191,8.504355470906916,24.079467628073438,30.55526599433195,50.168797244559784,11.296627233781699,0.0,8.322649077282101,19.79931317978339,16.9672736351485,0.0
ctyre,6.12723734486555,24.16138789234144,105.80653665142597,175.07765300152752,200.38725539720372,321.5727322354754,624.8642361036724,1173.5230133909336,2209.6518501890628,452.68344468860556,565.150685801792,827.3180099068629,1796.582610851377,1408.3757373698124
corub,0.13925169603821577,0.5491078692202325,2.4046301540754187,3.9789318981224957,4.554134858491601,7.308277098316904,14.201082767582887,26.670269284003247,50.21802657124918,10.287986884355528,12.843992665145763,18.80218270621276,40.83033862617732,32.00768944460116
cplas,120.60128845870793,185.04263971783766,253.13346239412155,217.72299411425408,282.84826132312185,458.1716642063977,465.65533171493286,535.1262144223388,1533.9066833536888,243.976391040956,395.55110383186985,273.6785708627726,523.8014624576658,738.6583841299301
cglas,195.38037076188647,221.63953093924886,309.9280612098574,294.81428482872354,346.790239825088,423.1756056308008,647.826158006574,757.714283467198,1171.1376892809496,203.59686909937048,173.4506216584828,351.82960749819125,232.87079291519095,556.8229523705864
ccera,0.8245167873538565,0.11310874009088541,0.0,1.9823322589915504,0.0,23.315401634304802,22.986072723116703,20.881270126045813,532.0761930692819,77.27950027678865,316.1652465294313,114.3124487583482,239.14276840231096,1281.47503546905
cclay,26.960213055963344,0.0,0.0,7.955654591090693,0.0,128.15502364571253,55.606132868498904,267.75679063080855,128.17375914923448,102.80067396817286,68.90519151848623,29.53828390224023,0.0,0.0
ccmnt,20.172092770151238,0.0,0.0,5.952556907678589,0.0,95.88778176849114,41.60546018254141,200.34021278804153,95.90179999284108,76.91722345871338,51.55604344708605,22.101049495054294,0.0,0.0
cconc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
